Numéro d'école;Latitude;Longitude;
0180779Z;47.1354385;2.5499221;Sainte-Solange, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18220, France
0120585W;44.1883973;3.1322855;Rivière-sur-Tarn, Millau, Aveyron, Occitanie, France métropolitaine, 12640, France
0420322X;46.0345572;4.0729178;Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42300, France
0420327C;46.0345572;4.0729178;Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42300, France
0211333K;47.2089381;5.3531973;Villers-les-Pots, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21130, France
0211891S;47.2768197;5.1748412;Magny-sur-Tille, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21110, France
0280792J;48.7358807;1.3684254;Dreux, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28100, France
0290512Z;48.4514803;-4.2557901;Landerneau, Brest, Finistère, Bretagne, France métropolitaine, 29800, France
0120719S;44.7373;2.72882;Saint-Symphorien-de-Thénières, Rodez, Aveyron, Occitanie, France métropolitaine, 12460, France
0190145E;45.1584982;1.5332389;Brive-la-Gaillarde, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19100, France
0190510B;45.4143034;2.4284518;Sarroux, Ussel, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19110, France
0291163G;47.8126044;-4.3377655;Penmarc'h, Quimper, Finistère, Bretagne, France métropolitaine, 29760, France
0180234G;46.9921896;2.2552381;Saint-Florent-sur-Cher, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18400, France
0420522P;45.4235;4.06555;Saint-Bonnet-le-Château, Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42380, France
0420673D;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0420702K;45.7445684131372;4.22591794358575;Feurs, Auvergne-Rhône-Alpes, France métropolitaine, 42110, France
0420928F;45.6072875;4.0627318;Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42600, France
0420933L;45.5414;4.18354;Sury-le-Comtal, Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42450, France
