2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;no;no;MARTINIQUE;110 avenue Abbé Lavigne;Ecole élémentaire Solange Londas;;97200.0;Fort-de-France;;;;;;143.0;;;9720169B;;PUBLIC;2;Martinique;84174;0;0;0
yes;yes;no;MARTINIQUE;Rue Victor Hugo;Ecole élémentaire Saint-Pierre A;;97250.0;Saint-Pierre;;;;;;90.0;84.0;;9720318N;;PUBLIC;2;Martinique;4285;0;0;1
yes;yes;no;LILLE;Rue Alfred de Musset;Ecole maternelle George Sand;;59139.0;Wattignies;;;;;;116.0;108.0;;0594245U;;PUBLIC;32;Hauts-de-France;14179;0;0;0
yes;yes;no;VERSAILLES;Rue du Morvan;Ecole maternelle Les Avelines Groupe 3;;91940.0;Les Ulis;;;;;;72.0;74.0;;0911589H;;PUBLIC;11;Île-de-France;24914;0;0;0
yes;yes;no;VERSAILLES;Place de la Mairie;Ecole maternelle Le Clos En Herbe;;91840.0;Soisy-sur-École;;;;;;50.0;37.0;;0911689S;;PUBLIC;11;Île-de-France;1367;0;1;1
yes;no;no;LILLE;Cité des Deux Synthe;Ecole primaire des Deux Synthe;;59760.0;Grande-Synthe;;;;;;28.0;;;0591278U;;PUBLIC;32;Hauts-de-France;21364;0;0;0
yes;yes;no;LILLE;Boulevard Vauban;Ecole primaire Maurice Careme;;59550.0;Landrecies;;;;;;108.0;106.0;;0591494D;;PUBLIC;32;Hauts-de-France;3487;0;0;1
yes;yes;no;VERSAILLES;1 rue Gambetta;Ecole maternelle Gambetta;;92170.0;Vanves;;;;;;134.0;122.0;;0920499T;;PUBLIC;11;Île-de-France;28170;0;0;0
yes;yes;no;NANCY-METZ;6 rue du Château;Ecole élémentaire de Bassing;;57260.0;Bassing;;;;;;14.0;12.0;;0571417F;;PUBLIC;44;Grand-Est;121;1;1;1
yes;yes;no;LILLE;50 rue du Docteur Maréchal;Ecole primaire Jean-Michel Dujardin Niv 1;;59270.0;Merris;;;;;;41.0;84.0;;0591849P;;PUBLIC;32;Hauts-de-France;1042;0;1;1
yes;no;no;LILLE;54 rue de la Paix;Ecole primaire Niv 1 Pierre-Gilles de Gennes;;59165.0;Auberchicourt;;;;;;105.0;;;0593521G;;PUBLIC;32;Hauts-de-France;4399;0;0;1
yes;yes;no;NANTES;7 rue Maurice Duveau;Ecole Maurice Duveau;;49700.0;Doué-la-Fontaine;;;;;;122.0;104.0;;0490440M;;PUBLIC;52;Pays-de-la-Loire;7584;0;0;1
yes;yes;no;NANTES;34 rue du Dolmen;Ecole maternelle Pauline Kergomard;;49400.0;Saumur;;;;;;76.0;77.0;;0490936B;;PUBLIC;52;Pays-de-la-Loire;27413;0;0;0
yes;yes;no;DIJON;Le bourg;Ecole de Verneuil;;58300.0;Verneuil;;;;;;14.0;10.0;;0580198A;;PUBLIC;27;Bourgogne-et-Franche-Comté;323;1;1;1
yes;yes;no;DIJON;Le bourg;Ecole maternelle de Saint-Aubin-les-Forges;;58130.0;Saint-Aubin-les-Forges;;;;;;12.0;12.0;;0580934A;;PUBLIC;27;Bourgogne-et-Franche-Comté;427;1;1;1
yes;yes;no;LILLE;24 rue du Capitaine Jasmin;Ecole maternelle Centre;;59133.0;Phalempin;;;;;;82.0;78.0;;0591042M;;PUBLIC;32;Hauts-de-France;4395;0;0;1
yes;yes;no;DIJON;Rue de Lutterbach;Ecole maternelle Antoine Bourdelle;;71300.0;Montceau-les-Mines;;;;;;32.0;33.0;;0711477V;;PUBLIC;27;Bourgogne-et-Franche-Comté;18969;0;0;0
yes;no;no;DIJON;49 rue du Bourg;Ecole maternelle Mireille et Gaston Mallet;;71530.0;Fragnes;;;;;;63.0;;;0711516M;;PUBLIC;27;Bourgogne-et-Franche-Comté;1024;0;1;1
yes;no;no;NANTES;Route de Montmirail;Ecole primaire RPI Jules Verne;;72320.0;Saint-Jean-des-Échelles;;;;;;19.0;;;0721031E;;PUBLIC;52;Pays-de-la-Loire;255;1;1;1
yes;no;no;ORLEANS-TOURS;10 rue Albert Camus;Ecole maternelle la Pontonnerie;;45120.0;Châlette-sur-Loing;;;;;;105.0;;;0450243V;;PUBLIC;24;Centre-Val-de-Loire;12812;0;0;0
yes;yes;no;ORLEANS-TOURS;2 rue Molière;Ecole maternelle Molière;;45000.0;Orléans;;;;;;110.0;111.0;;0450249B;;PUBLIC;24;Centre-Val-de-Loire;114375;0;0;0
yes;yes;no;CAEN;350 rue du Tram;Ecole maternelle Les îles et Les Ailes;;50460.0;Urville-Nacqueville;;;;;;72.0;67.0;;0501776J;;PUBLIC;28;Normandie;2154;0;0;1
yes;yes;no;LILLE;Chemin de la Chapelle;Ecole maternelle Charles Perrault;;59147.0;Gondecourt;;;;;;83.0;84.0;;0594927K;;PUBLIC;32;Hauts-de-France;3918;0;0;1
yes;yes;no;LILLE;12 rue de Flandre;Ecole maternelle Les jonquilles;;59166.0;Bousbecque;;;;;;85.0;78.0;;0595076X;;PUBLIC;32;Hauts-de-France;4773;0;0;1
yes;no;no;NANTES;ZAC Les Vignes;Ecole primaire Verne;;72600.0;Mamers;;;;;;43.0;;;0721279Z;;PUBLIC;52;Pays-de-la-Loire;5363;0;0;1
yes;yes;no;ORLEANS-TOURS;6 rue des écoles;Ecole primaire de Grangermont;;45390.0;Grangermont;;;;;;26.0;22.0;;0450638Z;;PUBLIC;24;Centre-Val-de-Loire;204;1;1;1
yes;yes;no;ORLEANS-TOURS;Route de Chatillon/loire;Ecole des Petits;;45500.0;Autry-le-Châtel;;;;;;49.0;47.0;;0450749V;;PUBLIC;24;Centre-Val-de-Loire;1004;0;1;1
yes;no;no;ORLEANS-TOURS;167 rue des écoles;Ecole maternelle de Ménestreau-en-Villette;;45240.0;Ménestreau-en-Villette;;;;;;46.0;;;0451390S;;PUBLIC;24;Centre-Val-de-Loire;1472;0;1;1
yes;yes;no;TOULOUSE;Le bourg;Ecole maternelle de Saint-Martin-le-Redon;;46700.0;Saint-Martin-le-Redon;;;;;;17.0;14.0;;0460064V;;PUBLIC;76;Occitanie;210;1;1;1
