2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;no;no;NANCY-METZ;83 rue Principale;Ecole élémentaire de Lagarde;;57810.0;Lagarde;;;;;;23.0;;;0571355N;;PUBLIC;44;Grand-Est;176;1;1;1
yes;no;no;REIMS;10 GRANDE RUE;ECOLE ELEMENTAIRE PUBLIQUE;;10210;Coussegrey;;;;;;14.0;;;0100215E;;PUBLIC;44;Grand-Est;179;1;1;1
yes;yes;no;LILLE;2 place Réné Hamoir;Ecole primaire Georges Brassens niveau 1;;59600.0;Maubeuge;;;;;;82.0;77.0;;0591829T;;PUBLIC;32;Hauts-de-France;30567;0;0;0
yes;no;no;CRETEIL;Place de la Mairie;Ecole élémentaire de Villiers-Saint-Georges;;77560.0;Villiers-Saint-Georges;;;;;;102.0;;;0771470E;;PUBLIC;11;Île-de-France;1210;0;1;1
yes;no;no;CRETEIL;Place de l'Eglise;Ecole maternelle de Villiers-Saint-Georges;;77560.0;Villiers-Saint-Georges;;;;;;57.0;;;0771698C;;PUBLIC;11;Île-de-France;1210;0;1;1
yes;no;no;REIMS;4 rue des Anciens Combattants;Ecole maternelle de Nogent-sur-Aube;;10240.0;Nogent-sur-Aube;;;;;;25.0;;;0101048K;;PUBLIC;44;Grand-Est;348;1;1;1
yes;no;no;REIMS;42 Grande rue;Ecole élémentaire de Coclois;;10240.0;Coclois;;;;;;17.0;;;0101103V;;PUBLIC;44;Grand-Est;187;1;1;1
yes;no;no;MONTPELLIER;Place de l'Hôtel de Ville;Ecole élémentaire Centre-Ville;;11800.0;Trèbes;;;;;;101.0;;;0110881Y;;PUBLIC;76;Occitanie;5410;0;0;1
yes;no;no;TOULOUSE;Le bourg;Ecole de Brasc;;12550.0;Brasc;;;;;;13.0;;;0120200C;;PUBLIC;76;Occitanie;164;1;1;1
yes;yes;no;TOULOUSE;Le bourg;Ecole maternelle de Montclar;;12550.0;Montclar;;;;;;18.0;12.0;;0120476C;;PUBLIC;76;Occitanie;169;1;1;1
yes;yes;no;TOULOUSE;Bez;Ecole élémentaire Bez;;12700.0;Naussac;;;;;;30.0;32.0;;0120523D;;PUBLIC;76;Occitanie;356;1;1;1
yes;no;no;TOULOUSE;15 rue de la gare;Ecole maternelle Paul Girard;;12000.0;Rodez;;;;;;53.0;;;0120600M;;PUBLIC;76;Occitanie;23741;0;0;0
yes;yes;no;TOULOUSE;Le bourg;Ecole élémentaire de Sauclières;;12230.0;Sauclières;;;;;;23.0;13.0;;0120746W;;PUBLIC;76;Occitanie;142;1;1;1
yes;yes;no;DIJON;9 chemin de Vannas;Ecole élémentaire de Tramayes;;71520.0;Tramayes;;;;;;61.0;76.0;;0710220D;;PUBLIC;27;Bourgogne-et-Franche-Comté;1015;0;1;1
yes;yes;no;GRENOBLE;Place de la Comédie;Ecole maternelle Novalaise;;73470.0;Novalaise;;;;;;96.0;92.0;;0731308A;;PUBLIC;84;Auvergne-et-Rhône-Alpes;1982;0;1;1
yes;yes;no;GRENOBLE;Chef Lieu;"École primaire publique la Motte En Bauges
";;73340; La Motte-en-Bauges;Savoie;;;;;;;;0731407H;;PUBLIC;84; Auvergne-Rhône-Alpes;463;1;1;1
yes;no;no;LILLE;68 rue de l'Epinette;Ecole primaire Marie-Louise Bogart;;59660.0;Merville;;;;;;37.0;;;0591851S;;PUBLIC;32;Hauts-de-France;9713;0;0;1
yes;yes;no;GRENOBLE;390 Route des écoles;Ecole maternelle de Sillingy;;74330.0;Sillingy;;;;;;116.0;124.0;;0741202E;;PUBLIC;84;Auvergne-et-Rhône-Alpes;4819;0;0;1
yes;yes;no;GRENOBLE;18 allée du Champ du Poirier;Ecole maternelle d'Alby-sur-Chéran;;74540.0;Alby-sur-Chéran;;;;;;114.0;103.0;;0741382A;;PUBLIC;84;Auvergne-et-Rhône-Alpes;2324;0;0;1
yes;yes;no;CLERMONT-FERRAND;15 place de la Liberté;Ecole maternelle Elsa Triolet;;3100.0;Montluçon;;;;;;54.0;38.0;;0030375S;;PUBLIC;84;Auvergne-et-Rhône-Alpes;37839;0;0;0
yes;yes;no;LYON;88 rue de l'Arc;Ecole maternelle Camille Claudel;;69400.0;Villefranche-sur-Saône;;;;;;106.0;107.0;;0691201F;;PUBLIC;84;Auvergne-et-Rhône-Alpes;36531;0;0;0
yes;yes;no;CAEN;11 rue Southampton;Ecole élémentaire d'Asnelles;;14960.0;Asnelles;;;;;;75.0;70.0;;0140231A;;PUBLIC;28;Normandie;587;0;1;1
yes;yes;no;CAEN;Le bourg;Ecole maternelle d'Ouilly-du-Houley;;14590.0;Ouilly-du-Houley;;;;;;20.0;19.0;;0141683D;;PUBLIC;28;Normandie;223;1;1;1
yes;no;no;CRETEIL;49 rue Benoît Malon;Ecole maternelle Benoît Malon 2;;94270.0;Le Kremlin-Bicêtre;;;;;;74.0;;;0941732X;;PUBLIC;11;Île-de-France;25863;0;0;0
yes;no;no;AMIENS;Route de Neuilly;Ecole élémentaire de Breny;;2210.0;Breny;;;;;;21.0;;;0020161P;;PUBLIC;32;Hauts-de-France;257;1;1;1
yes;no;no;AMIENS;13 Grande rue;Ecole élémentaire de Brumetz;;2810.0;Brumetz;;;;;;24.0;;;0020165U;;PUBLIC;32;Hauts-de-France;219;1;1;1
yes;no;no;AMIENS;Rue du Général Augereau;Ecole élémentaire du Catelet;;2420.0;Le Catelet;;;;;;43.0;;;0020192Y;;PUBLIC;32;Hauts-de-France;197;1;1;1
yes;no;no;AMIENS;Rue Albert I;Ecole maternelle Groupe scolAire la Résidence;;2300.0;Chauny;;;;;;52.0;;;0020263A;;PUBLIC;32;Hauts-de-France;11874;0;0;0
yes;yes;no;AMIENS;8 rue de la Mairie;Ecole maternelle de Courtemont-Varennes;;2850.0;Courtemont-Varennes;;;;;;52.0;44.0;;0020581W;;PUBLIC;32;Hauts-de-France;289;1;1;1
yes;no;no;AMIENS;Rue du Presbytère;Ecole élémentaire de Montigny-le-Franc;;2250.0;Montigny-le-Franc;;;;;;15.0;;;0020736P;;PUBLIC;32;Hauts-de-France;152;1;1;1
yes;no;no;AMIENS;12 rue des Rognons;Ecole élémentaire de Joncourt;;2420.0;Joncourt;;;;;;17.0;;;0020949W;;PUBLIC;32;Hauts-de-France;314;1;1;1
yes;no;no;AMIENS;Rue de Sains;Ecole élémentaire du Hérie-la-Viéville;;2120.0;Le Hérie-la-Viéville;;;;;;21.0;;;0021119F;;PUBLIC;32;Hauts-de-France;239;1;1;1
yes;no;no;AMIENS;Place d'Alsace Lorraine;Ecole maternelle Groupe scolaire Saint-Waast;;2200.0;Soissons;;;;;;116.0;;;0021195N;;PUBLIC;32;Hauts-de-France;28472;0;0;0
yes;no;no;CRETEIL;29 rue Albert 1er;Ecole élémentaire Paul Langevin;;94600.0;Choisy-le-Roi;;;;;;517.0;;;0942080A;;PUBLIC;11;Île-de-France;42769;0;0;0
yes;no;no;AMIENS;7 rue Fernand Jumeaux;Ecole élémentaire de Parpeville;;2240.0;Parpeville;;;;;;20.0;;;0021464F;;PUBLIC;32;Hauts-de-France;223;1;1;1
yes;no;no;AMIENS;Impasse du Sapincourt;Ecole maternelle Groupe scolaire r.fiolet N1;;2200.0;Soissons;;;;;;136.0;;;0021806C;;PUBLIC;32;Hauts-de-France;28472;0;0;0
yes;no;no;LYON;141 rue Eugène Dubois;Ecole maternelle de Vonnas;;1540.0;Vonnas;;;;;;78.0;;;0010958L;;PUBLIC;84;Auvergne-et-Rhône-Alpes;2919;0;0;1
yes;no;no;BESANCON;Rue Corne;Ecole de Varogne;;70240.0;Varogne;;;;;;20.0;;;0700308E;;PUBLIC;27;Bourgogne-et-Franche-Comté;140;1;1;1
yes;no;no;BESANCON;Route de Pont de Planches;Ecole maternelle de Vezet;;70130.0;Vezet;;;;;;14.0;;;0700756S;;PUBLIC;27;Bourgogne-et-Franche-Comté;188;1;1;1
yes;no;no;TOULOUSE;Rue de la Mairie;Ecole maternelle Paul Leygue;;82110.0;Lauzerte;;;;;;40.0;;;0820693H;;PUBLIC;76;Occitanie;1479;0;1;1
yes;yes;no;STRASBOURG;48 rue d'Untergrombach Echery;Ecole élémentaire Echery;;68160.0;Sainte-Marie-aux-Mines;;;;;;37.0;31.0;;0680473V;;PUBLIC;44;Grand-Est;5193;0;0;1
yes;no;no;DIJON;Le bourg;Ecole de Suin;;71220.0;Suin;;;;;;11.0;;;0710503L;;PUBLIC;27;Bourgogne-et-Franche-Comté;286;1;1;1
yes;no;no;NICE;Chemin du Moulin Premier;Ecole maternelle Marcel Pagnol;;83260.0;La Crau;;;;;;107.0;;;0831525G;;PUBLIC;93;Provence-Alpes-Côte-d'Azur;16612;0;0;0
yes;yes;no;TOULOUSE;1 rue du Bourg;Ecole maternelle de Lau-Balagnas;;65400.0;Lau-Balagnas;;;;;;10.0;8.0;;0650851X;;PUBLIC;76;Occitanie;506;0;1;1
yes;no;no;MARTINIQUE;Cité Calebasse;Ecole maternelle Ravenala;;97200.0;Fort-de-France;;;;;;64.0;;;9720464X;;PUBLIC;2;Martinique;84174;0;0;0
yes;yes;no;STRASBOURG;22 rue du Genie;Ecole maternelle Genie;;67190.0;Mutzig;;;;;;58.0;57.0;;0670213T;;PUBLIC;44;Grand-Est;5864;0;0;1
yes;no;no;MAYOTTE;Tsingoni;Ecole élémentaire spéciale Tsingoni PPF;;97680.0;Tsingoni;;;;;;5.0;;;9760109P;;PUBLIC;6;Mayotte;13934;0;0;0
yes;no;no;MAYOTTE;Bandrele;Ecole maternelle Dapani maternelle;;97660.0;Bandrele;;;;;;221.0;;;9760269N;;PUBLIC;6;Mayotte;10282;0;0;0
yes;no;no;CORSE;Casuccio;Ecole maternelle Morsiglia;;20238.0;Morsiglia;;;;;;5.0;;;7200076V;;PUBLIC;94;Corse;133;1;1;1
yes;no;no;GUADELOUPE;17 rue Chevalier Saint Georges;Ecole primaire Elie Chaufrein;;97100.0;Basse-Terre;;;;;;54.0;;;9710136W;;PUBLIC;1;Guadeloupe;11150;0;0;0
yes;yes;no;GUADELOUPE;Boulevard Chanzy;Ecole primaire Cideme Salvator;;97110.0;Pointe-à-Pitre;;;;;;99.0;88.0;;9710192G;;PUBLIC;1;Guadeloupe;15826;0;0;0
yes;no;no;GUADELOUPE;Route de Vieux Bourg;Ecole élémenTaire d'application Jean Zebus;;97139.0;Les Abymes;;;;;;115.0;;;9710290N;;PUBLIC;1;Guadeloupe;57960;0;0;0
yes;yes;no;GUADELOUPE;Lieu-dit LES PLAINES;Ecole maternelle Grand-Camp 1;971.0;97142.0;Les Abymes;Guadeloupe;OUVERT;16.252265123644975;GRAND CAMP;-61.535938037932475;120.0;106.0;;9710724K;GRAND-CAMP 1;PUBLIC;1;Guadeloupe;57960;0;0;0
yes;no;no;GUADELOUPE;8 chemin Communal;Ecole maternelle Géry Vieux-Habitants;;97119.0;Vieux-Habitants;;;;;;37.0;;;9710876A;;PUBLIC;1;Guadeloupe;7425;0;0;1
yes;no;no;GUADELOUPE;Section Faup;Ecole maternelle Faup;;97112.0;Grand-Bourg;;;;;;42.0;;;9710919X;;PUBLIC;1;Guadeloupe;5376;0;0;1
yes;no;no;MARTINIQUE;28 avenue du Général de Gaulle;Ecole élémentaire Carbet B;;97221.0;Le Carbet;;;;;;90.0;;;9720108K;;PUBLIC;2;Martinique;3742;0;0;1
yes;no;no;DIJON;1 rue de la Maladière;Ecole maternelle Les Clairions;;89000.0;Auxerre;;;;;;62.0;;;0890418W;;PUBLIC;27;Bourgogne-et-Franche-Comté;34869;0;0;0
yes;no;no;DIJON;4 place de la Mairie;Ecole primaire de Chassignelles;;89160.0;Chassignelles;;;;;;12.0;;;0890681G;;PUBLIC;27;Bourgogne-et-Franche-Comté;325;1;1;1
yes;yes;no;DIJON;9 rue d'Orléans;Ecole maternelle de Cravant;;89460.0;Cravant;;;;;;39.0;50.0;;0890990T;;PUBLIC;27;Bourgogne-et-Franche-Comté;850;0;1;1
yes;no;no;DIJON;3 rue des écoles;Ecole maternelle de Quarré-les-Tombes;;89630.0;Quarré-les-Tombes;;;;;;46.0;;;0891153V;;PUBLIC;27;Bourgogne-et-Franche-Comté;705;0;1;1
yes;yes;no;CAEN;Le bourg;Ecole maternelle de Heugon;;61470.0;Heugon;;;;;;27.0;20.0;;0610490B;;PUBLIC;28;Normandie;240;1;1;1
yes;no;no;POITIERS;25 rue Henri Sellier;Ecole maternelle Groupe scolaire Emile Zola;;79000.0;Niort;;;;;;94.0;;;0790753P;;PUBLIC;75;Nouvelle-Aquitaine;57393;0;0;0
yes;no;no;AMIENS;1 rue d'Herbecourt;Ecole primaire d'Assevillers;;80200.0;Assevillers;;;;;;23.0;;;0800428F;;PUBLIC;32;Hauts-de-France;286;1;1;1
yes;yes;no;AMIENS;9 rue de l'église;Ecole de Proyart;;80340.0;Proyart;;;;;;74.0;72.0;;0800445Z;;PUBLIC;32;Hauts-de-France;667;0;1;1
yes;no;no;DIJON;2 rue de l'Eglise;Ecole maternelle Saint-Exupéry;;89140.0;Cuy;;;;;;32.0;;;0891188H;;PUBLIC;27;Bourgogne-et-Franche-Comté;811;0;1;1
yes;no;no;BESANCON;Route de Delle;Ecole primaire Sevenans;;90400.0;Sevenans;;;;;;23.0;;;0900041F;;PUBLIC;27;Bourgogne-et-Franche-Comté;700;0;1;1
yes;no;no;VERSAILLES;Allée de Québec;Ecole élémentaire Moulin-Pasteur;;91300.0;Massy;;;;;;227.0;;;0910702U;;PUBLIC;11;Île-de-France;45902;0;0;0
yes;no;no;POITIERS;10 rue Anne Frank;Ecole maternelle Anne Frank Besse;;86540.0;Thuré;;;;;;47.0;;;0861050Z;;PUBLIC;75;Nouvelle-Aquitaine;2892;0;0;1
yes;no;no;LIMOGES;Avenue Général Chambe;Ecole Bellegarde;;87100.0;Limoges;;;;;;20.0;;;0870259J;;PUBLIC;75;Nouvelle-Aquitaine;135098;0;0;0
yes;no;no;TOULOUSE;Le bourg;Ecole de Taïx;;81130.0;Taïx;;;;;;24.0;;;0810333X;;PUBLIC;76;Occitanie;429;1;1;1
yes;yes;no;GUADELOUPE;Rue Gerville Réache;Ecole primaire Bourg 2 Trois-Rivières;;97114.0;Trois-Rivières;;;;;;173.0;165.0;;9710307G;;PUBLIC;1;Guadeloupe;8578;0;0;1
yes;no;no;GUADELOUPE;Jabrun Saint Cyr;Ecole primaire Marcelle Blanchinet;;97111.0;Morne-à-l'Eau;;;;;;34.0;;;9710602C;;PUBLIC;1;Guadeloupe;17046;0;0;0
yes;no;no;CRETEIL;2 rue P Brossolette;Ecole élémentaire Nobel;;93270.0;Sevran;;;;;;160.0;;;0931153Y;;PUBLIC;11;Île-de-France;49465;0;0;0
yes;yes;no;NANCY-METZ;31 rue du 149ème RI;Ecole maternelle 149e Ri;;88000.0;Épinal;;;;;;66.0;63.0;;0880278Z;;PUBLIC;44;Grand-Est;32188;0;0;0
yes;no;no;NANCY-METZ;1 rue de l'Abbé de Barville;Ecole maternelle Centre;;88450.0;Vincey;;;;;;38.0;;;0880723H;;PUBLIC;44;Grand-Est;2238;0;0;1
yes;no;no;NANCY-METZ;Allée Emile Gerlach;Ecole maternelle Joli Bois;;88110.0;Raon-l'Étape;;;;;;46.0;;;0880829Y;;PUBLIC;44;Grand-Est;6422;0;0;1
yes;yes;no;NANCY-METZ;6 rue de la 2ème DB;Ecole primaire Bouxières;;88150.0;Thaon-les-Vosges;;;;;;192.0;183.0;;0881606T;;PUBLIC;44;Grand-Est;7895;0;0;1
yes;yes;no;DIJON;10  RUE PRINCIPALE;Ecole élémentaire La Chapelle;89.0;89340.0;Champigny;Yonne;OUVERT;48.31471065720285;;3.1491395345899416;61.0;47.0;;0890201K;LA CHAPELLE;PUBLIC;27;Bourgogne-et-Franche-Comté;2248;0;0;1
yes;no;no;GUADELOUPE;Desbonnes;Ecole maternelle Beauperthuy Daniel;;97115.0;Sainte-Rose;;;;;;26.0;;;9711162L;;PUBLIC;1;Guadeloupe;20144;0;0;0
yes;no;no;CRETEIL;49 rue Benoît Malon;Ecole maternelle Benoît Malon 1;;94270.0;Le Kremlin-Bicêtre;;;;;;100.0;;;0940402B;;PUBLIC;11;Île-de-France;25863;0;0;0
yes;yes;no;CRETEIL;Boulevard de Friedberg;Ecole élémentaire Albert Camus;;94350.0;Villiers-sur-Marne;;;;;;241.0;266.0;;0941274Z;;PUBLIC;11;Île-de-France;28190;0;0;0
yes;yes;no;LIMOGES;Hameau de Puy Mery;Ecole primaire Puy Mery;;87110.0;Le Vigen;;;;;;43.0;45.0;;0870479Y;;PUBLIC;75;Nouvelle-Aquitaine;2068;0;0;1
yes;no;no;VERSAILLES;7 rue Flammarion;Ecole maternelle Flammarion;;95600.0;Eaubonne;;;;;;99.0;;;0951035J;;PUBLIC;11;Île-de-France;24606;0;0;0
yes;no;no;LIMOGES;Le bourg;Ecole Sussac;;87130.0;Sussac;;;;;;15.0;;;0870515M;;PUBLIC;75;Nouvelle-Aquitaine;342;1;1;1
yes;no;no;LIMOGES;2 rue Charles Gide;Ecole l'Abbessaille;;87000.0;Limoges;;;;;;71.0;;;0870680S;;PUBLIC;75;Nouvelle-Aquitaine;135098;0;0;0
yes;no;no;MAYOTTE;Mtsamoudou;Ecole élémentaire Mtsamoudou;;97660.0;Bandrele;;;;;;5.0;;;9760033G;;PUBLIC;6;Mayotte;10282;0;0;0
yes;yes;no;POITIERS;16 avenue Jean Jaurès;Ecole primaire Pablo Néruda;;86530.0;Naintré;;;;;;110.0;99.0;;0861089S;;PUBLIC;75;Nouvelle-Aquitaine;5850;0;0;1
yes;no;no;LIMOGES;2 place du Presidial;Ecole élémentaire Presidial;;87000.0;Limoges;;;;;;76.0;;;0870278E;;PUBLIC;75;Nouvelle-Aquitaine;135098;0;0;0
yes;yes;no;POITIERS;Place de la Mairie;Ecole d'Antigny;;86310.0;Antigny;;;;;;20.0;10.0;;0860090F;;PUBLIC;75;Nouvelle-Aquitaine;578;0;1;1
yes;no;no;POITIERS;1 rue St Martial;Ecole primaire Saint-Martial;;86300.0;Chauvigny;;;;;;47.0;;;0860223A;;PUBLIC;75;Nouvelle-Aquitaine;7086;0;0;1
yes;no;no;POITIERS;Rue de Belgique;Ecole primaire Ville haute;;86500.0;Montmorillon;;;;;;78.0;;;0860399S;;PUBLIC;75;Nouvelle-Aquitaine;6197;0;0;1
yes;no;no;VERSAILLES;4 chemin des Hauts Toupets;Ecole maternelle Les Hauts Toupets;;95490.0;Vauréal;;;;;;102.0;;;0951629E;;PUBLIC;11;Île-de-France;15705;0;0;0
yes;no;no;VERSAILLES;Rue Robert Lepeltier;Ecole maternelle Georges Duhamel;;95660.0;Champagne-sur-Oise;;;;;;96.0;;;0951845P;;PUBLIC;11;Île-de-France;4717;0;0;1
yes;no;no;NANCY-METZ;10 rue Le Village;Ecole primaire de Belmont-sur-Buttant;;88600.0;Belmont-sur-Buttant;;;;;;17.0;;;0880467E;;PUBLIC;44;Grand-Est;288;1;1;1
yes;no;no;NANCY-METZ;30 rue Maurice Lemaire;Ecole de Colroy-la-Grande;;88490.0;Colroy-la-Grande;;;;;;49.0;;;0881081X;;PUBLIC;44;Grand-Est;535;0;1;1
yes;no;no;POITIERS;Rue Pouzillard;Ecole maternelle Louise Michel;;86300.0;Chauvigny;;;;;;38.0;;;0860716L;;PUBLIC;75;Nouvelle-Aquitaine;7086;0;0;1
yes;yes;no;GUADELOUPE;46 rue Schoëlcher;Ecole primaire Amédée Fengarol 1;;97110.0;Pointe-à-Pitre;;;;;;167.0;148.0;;9710191F;;PUBLIC;1;Guadeloupe;15826;0;0;0
yes;no;no;NANTES;2 rue Tulipes Hameau des Conches;Ecole Les Tulipes;;85560.0;Longeville-sur-Mer;;;;;;18.0;;;0850361F;;PUBLIC;52;Pays-de-la-Loire;2455;0;0;1
yes;yes;no;VERSAILLES;55 rue de Villeneuve;Ecole maternelle du Landy;;92110.0;Clichy;;;;;;100.0;83.0;;0922453S;;PUBLIC;11;Île-de-France;59255;0;0;0
yes;no;no;VERSAILLES;103 rue Maurice Arnoux;Ecole maternelle Maurice Arnoux;;92120.0;Montrouge;;;;;;150.0;;;0922576A;;PUBLIC;11;Île-de-France;49656;0;0;0
yes;no;no;LA REUNION;122 rue des Lataniers;Ecole maternelle Evariste Courteaud;;97419.0;La Possession;;;;;;11.0;;;9740185H;;PUBLIC;4;La-Réunion;31439;0;0;0
yes;no;no;LA REUNION;Route de Cilaos;Ecole primaire Leon Dierx;974.0;97421.0;Saint-Louis;La Réunion;OUVERT;-21.2437667537053;;55.45668411349524;5.0;;;9740275F;LEON DIERX;PUBLIC;4;La-Réunion;52656;0;0;0
yes;yes;no;CRETEIL;9 avenue du Stade;Ecole maternelle Fort du Bois;;77400.0;Lagny-sur-Marne;;;;;;78.0;88.0;;0770439J;;PUBLIC;11;Île-de-France;20718;0;0;0
yes;yes;no;CRETEIL;Place de la Mairie;Ecole élémentaire de Nesles la Gilberde;;77540.0;Lumigny-Nesles-Ormeaux;;;;;;51.0;43.0;;0770842X;;PUBLIC;11;Île-de-France;1543;0;1;1
yes;yes;no;CRETEIL;1 rue Nicolas Tappereau;Ecole maternelle Les Mezereaux 2;;77000.0;Melun;;;;;;98.0;103.0;;0771586F;;PUBLIC;11;Île-de-France;40066;0;0;0
yes;yes;no;LYON;Place Bouvier;Ecole maternelle Centre;;42600.0;Montbrison;;;;;;45.0;122.0;;0420304C;;PUBLIC;84;Auvergne-et-Rhône-Alpes;15673;0;0;0
yes;yes;no;LYON;Cité Piotière;Ecole maternelle Piotière;;42230.0;Roche-la-Molière;;;;;;28.0;24.0;;0420335L;;PUBLIC;84;Auvergne-et-Rhône-Alpes;10093;0;0;0
yes;yes;no;LYON;Le Chapitre;Ecole primaire Le Bourg;;42130.0;Leigneux;;;;;;46.0;46.0;;0420505W;;PUBLIC;84;Auvergne-et-Rhône-Alpes;401;1;1;1
yes;yes;no;LYON;Rue Emile Zola-La Chapelle;Ecole maternelle Rimbaud;;42160.0;Andrézieux-Bouthéon;;;;;;101.0;97.0;;0421188N;;PUBLIC;84;Auvergne-et-Rhône-Alpes;9844;0;0;1
yes;yes;no;LYON;5 allée Jean Racine;Ecole maternelle Monthieu;;42100.0;Saint-Étienne;;;;;;90.0;79.0;;0421509M;;PUBLIC;84;Auvergne-et-Rhône-Alpes;172023;0;0;0
yes;yes;no;CRETEIL;5 place Thomas Le Pilleur;Ecole élémentaire Robert Doisneau;;77700.0;Serris;;;;;;127.0;128.0;;0772507G;;PUBLIC;11;Île-de-France;8369;0;0;1
yes;yes;no;CLERMONT-FERRAND;4 route du Mazet;Ecole Elémentaire;43.0;43400.0;Le Chambon-sur-Lignon;Haute-Loire;OUVERT;45.05893830362381;;4.301964332531123;110.0;93.0;;0430515B;LE CHAMBON-SUR-LIGNON;PUBLIC;84;Auvergne-et-Rhône-Alpes;2570;0;0;1
yes;yes;no;REIMS;Rue André Malraux;Ecole maternelle Croix Dampierre;;51000.0;Châlons-en-Champagne;;;;;;81.0;76.0;;0511613B;;PUBLIC;44;Grand-Est;44899;0;0;0
yes;yes;no;REIMS;7 rue des Hauts;Ecole maternelle de Val-des-Marais;;51130.0;Val-des-Marais;;;;;;52.0;50.0;;0511919J;;PUBLIC;44;Grand-Est;568;0;1;1
yes;yes;no;REIMS;2 rue des écoles;Ecole de Suzannecourt;;52300.0;Suzannecourt;;;;;;30.0;24.0;;0520108K;;PUBLIC;44;Grand-Est;358;1;1;1
yes;yes;no;NANCY-METZ;1 place de la Mairie;Ecole élémentaire d'Anoux;;54150.0;Anoux;;;;;;37.0;16.0;;0540160F;;PUBLIC;44;Grand-Est;252;1;1;1
yes;yes;no;AMIENS;13 Grande rue Grande rue;Ecole de Villers-sur-Trie;;60590.0;Villers-sur-Trie;;;;;;20.0;22.0;;0601686G;;PUBLIC;32;Hauts-de-France;336;1;1;1
yes;yes;no;PARIS;51 rue Ramponeau;Ecole primaire Ramponeau;;75020.0;Paris;;;;;;112.0;97.0;;0750979G;;PUBLIC;11;Île-de-France;194771;0;0;0
yes;yes;no;LILLE;19 A rue Principale;Ecole primaire de Coyecques;;62560.0;Coyecques;;;;;;73.0;80.0;;0621750R;;PUBLIC;32;Hauts-de-France;576;0;1;1
yes;yes;no;LILLE;20 bis rue de Fruges;Ecole primaire Jacques Prévert;;62130.0;Saint-Pol-sur-Ternoise;;;;;;209.0;223.0;;0622062E;;PUBLIC;32;Hauts-de-France;5081;0;0;1
yes;yes;no;LILLE;Rue Blanqui;Ecole maternelle Adrienne Berteloot;;62800.0;Liévin;;;;;;87.0;89.0;;0622283V;;PUBLIC;32;Hauts-de-France;31517;0;0;0
yes;no;no;ORLEANS-TOURS;Rue des Fontenils;Ecole maternelle Rochelude;;37500.0;Chinon;;;;;;35.0;;;0370301B;;PUBLIC;24;Centre-Val-de-Loire;8044;0;0;1
yes;no;no;ORLEANS-TOURS;16 rue Jean Moulin;Ecole maternelle Moulin;;37540.0;Saint-Cyr-sur-Loire;;;;;;74.0;;;0370804Y;;PUBLIC;24;Centre-Val-de-Loire;16239;0;0;0
yes;yes;no;ORLEANS-TOURS;7 rue des écoles;Ecole maternelle Lebert;;37230.0;Luynes;;;;;;100.0;76.0;;0371106B;;PUBLIC;24;Centre-Val-de-Loire;5207;0;0;1
yes;no;no;GRENOBLE;Place Albert Rivet;Ecole maternelle Le Bourg;;38770.0;La Motte-d'Aveillans;;;;;;54.0;;;0381653R;;PUBLIC;84;Auvergne-et-Rhône-Alpes;1797;0;1;1
yes;yes;no;MONTPELLIER;4 rue du 81e Régiment d'infanterie;Ecole élementaire publique internat d'excellence;34.0;34080.0;Montpellier;Hérault;;43.62007;;3.87669;9.0;;;0342280U;;PUBLIC;76;Occitanie;272084;0;0;0
yes;yes;no;ORLEANS-TOURS;Le bourg;Ecole élémentaire de Vijon;;36160.0;Vijon;;;;;;17.0;16.0;;0360076M;;PUBLIC;24;Centre-Val-de-Loire;309;1;1;1
yes;no;no;ORLEANS-TOURS;64 avenue de la République;Ecole primaire Ré;;37540.0;Saint-Cyr-sur-Loire;;;;;;98.0;;;0370148K;;PUBLIC;24;Centre-Val-de-Loire;16239;0;0;0
yes;no;no;ROUEN;14 rue d'Artois Saint Michel;Ecole maternelle Jean Macé;;27000.0;Évreux;;;;;;198.0;;;0270068C;;PUBLIC;28;Normandie;49722;0;0;0
yes;no;no;ROUEN;4 rue Anatole France;Ecole maternelle Maxime Marchand;;27000.0;Évreux;;;;;;97.0;;;0270073H;;PUBLIC;28;Normandie;49722;0;0;0
yes;yes;no;ROUEN;4 rue de l'Eglise;Ecole élémentaire de Saint-Vincent-du-Boulay;;27230.0;Saint-Vincent-du-Boulay;;;;;;43.0;45.0;;0270337V;;PUBLIC;28;Normandie;350;1;1;1
yes;yes;no;ROUEN;4 rue de l'Iton;Ecole élémentaire de Saint-Germain-des-Angles;;27930.0;Saint-Germain-des-Angles;;;;;;25.0;26.0;;0270503A;;PUBLIC;28;Normandie;196;1;1;1
yes;no;no;ROUEN;59 rue Saint Germain;Ecole élémentaire Evreux rue Saint-Germain;;27000.0;Évreux;;;;;;67.0;;;0271805R;;PUBLIC;28;Normandie;49722;0;0;0
yes;yes;no;ORLEANS-TOURS;18 rue du Général Lebreton;Ecole élémentaire de Luigny;;28480.0;Luigny;;;;;;16.0;17.0;;0280376G;;PUBLIC;24;Centre-Val-de-Loire;403;1;1;1
