lat,lon,address,town,name,pop_count,closed
47.2089381,5.3531973,5 rue des Rosiers,Villers-les-Pots,Ecole maternelle de Villers-les-Pots,1076.0,2017
47.276819700000004,5.1748412,4 bis rue du Marais,Magny-sur-Tille,Ecole maternelle de Magny-sur-Tille,847.0,2016
48.7358807,1.3684253999999998,Rue du Lièvre d'Or,Dreux,Ecole maternelle Croix Tienac,31373.0,2016
48.45148029999999,-4.2557901,75 rue Fontaine Blanche,Landerneau,Ecole maternelle Ferdinand Buisson,15443.0,2017
44.7373,2.7288200000000002,Le bourg,Saint-Symphorien-de-Thénières,Ecole de Saint-Symphorien-de-Thénières,230.0,2017
45.158498200000004,1.5332389,2 carrefour carriven,Brive-la-Gaillarde,Ecole élémentaire Pont Cardinal,46794.0,2017
45.4143034,2.4284517999999995,Le bourg,Sarroux,Ecole élémentaire de Sarroux,424.0,2017
47.8126044,-4.3377655,Rue Mathurin Meheut,Penmarch,Ecole maternelle Auguste Dupouy,5401.0,2017
46.9921896,2.2552381,Rue Charles Migraine,Saint-Florent-sur-Cher,Ecole élémentaire Louis Dezelot 1,6629.0,2017
45.4235,4.06555,7 rue des Monnaires,Saint-Bonnet-le-Château,Ecole maternelle chemin des Monnaires,1583.0,2016
45.4401467,4.3873058,23 rue Ambroise Paré,Saint-Étienne,Ecole maternelle Solaure,172023.0,2017
45.74456841313721,4.22591794358575,Le bourg,Sainte-Foy-Saint-Sulpice,Ecole Le Bourg,533.0,2017
45.6072875,4.0627318,50 avenue Alsace Lorraine,Montbrison,Ecole maternelle Château Lacheze,15673.0,2016
45.5414,4.18354,59 rue du Onze Novembre,Sury-le-Comtal,Ecole maternelle R. du 11 Novembre,6057.0,2017
47.9960325,-4.1024782,12 rue du Lycée,Quimper,Ecole élémentaire Jules Ferry,63532.0,2017
43.833177,7.472391900000001,Place Lucien Rousset,Castillon,Ecole Castillon,381.0,2017
43.5139051,4.9884322999999995,12 place des Carmes,Istres,Ecole maternelle Carmes,42937.0,2017
45.4401467,4.3873058,5 rue Raoul Follereau,Saint-Étienne,Ecole maternelle Cotonne,172023.0,2016
45.118917100000004,3.9065257000000004,Le bourg,Lavoûte-sur-Loire,Ecole élémentaire de Lavoûte-sur-Loire,841.0,2017
45.4199869,0.056499900000000006,Le bourg,Nonac,Ecole de Nonac,303.0,2016
45.7078066,0.5547653,Le bourg,Rouzède,Ecole élémentaire de Rouzède,223.0,2017
45.2399639,4.6675474999999995,Cité de Bernaudin,Annonay,Ecole Bernaudin,16075.0,2017
43.1661872,1.2755831,1 place des écoles,La Bastide-de-Besplas,Ecole primaire de la Bastide-de-Besplas,384.0,2017
48.2514482840827,4.70577699728286,Rue du Donjon,Champignol-lez-Mondeville,Ecole primaire de Champignol-lez-Mondeville,323.0,2016
47.99585089999999,3.8643686,36 Route Principale,Les Croûtes,Ecole primaire des Croûtes,108.0,2016
48.5185158,3.5955059,Rue du Four,Pont-sur-Seine,Ecole maternelle de Pont-sur-Seine,1131.0,2017
48.2784599,4.0507314,99 rue Thiers,Saint-André-les-Vergers,Ecole maternelle Auguste Renoir,11770.0,2016
48.0181129,-1.651345,3 avenue de la Mare Guesclin,Saint-Erblon,Ecole maternelle Les Colombes,2662.0,2017
48.368382700000005,-1.2177018,14 rue de la Dussetière,Lécousse,Ecole maternelle Montaubert,3058.0,2017
46.947782600000004,1.9889131000000002,8 rue François Habert,Issoudun,Ecole maternelle FranE£ois Habert,12420.0,2016
46.428091200000004,2.0528147,4 rue de l'Ecole,Sazeray,Ecole de Sazeray,314.0,2017
47.8201167,-3.7921065,Rue de Gwaremm Zu,Névez,Ecole maternelle Bourg,2682.0,2016
46.1591126,-1.1520434,Rue Nicolas de Largilliére,La Rochelle,Ecole maternelle Gaston Balande,74344.0,2016
16.2408636,-61.533407700000005,Boulevard Chanzy,Pointe-à-Pitre,Ecole maternelle Cideme Salvator,15826.0,2016
16.3316709,-61.3476233,Cadenet,Le Moule,Ecole maternelle Laurette Vitalle,22456.0,2017
