CODGEO,LIBGEO,POPULATION
02173,Chauny,11831
02174,Chavignon,815
02175,Chavigny,134
02176,Chavonne,204
02177,Chérêt,140
02178,Chermizy-Ailles,110
02179,Chéry-Chartreuve,388
02180,Chéry-lès-Pouilly,702
02181,Chéry-lès-Rozoy,90
02182,Chevennes,135
02183,Chevregny,192
02184,Chevresis-Monceau,364
02185,Chézy-en-Orxois,408
02186,Chézy-sur-Marne,1335
02187,Chierry,1081
02188,Chigny,147
02189,Chivres-en-Laonnois,374
02190,Chivres-Val,553
02191,Chivy-lès-Étouvelles,507
02192,Chouy,375
02193,Cierges,70
02194,Cilly,210
02195,Ciry-Salsogne,918
02196,Clacy-et-Thierret,322
02197,Clairfontaine,564
02198,Clamecy,224
02199,Clastres,646
02200,Clermont-les-Fermes,126
02201,Coeuvres-et-Valsery,448
02203,Coincy,1341
02204,Coingt,68
02205,Colligis-Crandelain,233
02206,Colonfay,81
02207,Commenchon,209
02208,Concevreux,283
02209,Condé-en-Brie,667
02210,Condé-sur-Aisne,368
02211,Condé-sur-Suippe,258
02212,Condren,715
02213,Connigis,324
02214,Contescourt,62
02215,Corbeny,734
02216,Corcy,313
02217,Coucy-le-Château-Auffrique,1036
02218,Coucy-lès-Eppes,621
02219,Coucy-la-Ville,214
02220,Coulonges-Cohan,436
02221,Coupru,159
02222,Courbes,31
02223,Courboin,300
02224,Courcelles-sur-Vesle,361
02225,Courchamps,92
02226,Courmelles,1799
02227,Courmont,137
02228,Courtemont-Varennes,311
02229,Courtrizy-et-Fussigny,66
02230,Couvrelles,188
02231,Couvron-et-Aumencourt,919
02232,Coyolles,349
02233,Cramaille,134
02234,Craonne,80
02235,Craonnelle,116
02236,Crécy-au-Mont,345
02237,Crécy-sur-Serre,1494
02238,Crépy,1901
02239,Crézancy,1221
02240,Croix-Fonsomme,249
02241,La Croix-sur-Ourcq,108
02242,Crouttes-sur-Marne,641
02243,Crouy,2879
02244,Crupilly,70
02245,Cuffies,1803
02246,Cugny,595
02248,Cuirieux,159
02249,Cuiry-Housse,107
02250,Cuiry-lès-Chaudardes,73
02251,Cuiry-lès-Iviers,28
02252,Cuissy-et-Geny,67
02253,Cuisy-en-Almont,349
02254,Cutry,125
02255,Cys-la-Commune,142
02256,Dagny-Lambercy,130
02257,Dallon,437
02258,Dammard,396
02259,Dampleux,402
02260,Danizy,609
02261,Dercy,389
02262,Deuillet,221
02263,Dhuizel,115
02264,Dizy-le-Gros,760
02265,Dohis,98
02266,Dolignon,51
02267,Dommiers,289
02268,Domptin,664
02269,Dorengt,155
02270,Douchy,159
