2015-2016	2016-2017	2017-2018	Académie	Adresse	Appellation officielle	Code département	Code postal	Commune	Département	Etat établissement	Latitude	Lieu dit	Longitude	Nombre d'élèves 2015-2016	Nombre d'élèves 2016-2017	Nombre d'élèves 2017-2018	Numéro d'école	Patronyme uai	Secteur d'enseignement	code région	libellé région
yes	no	no	AMIENS	1 rue d'Herbecourt	Ecole primaire d'Assevillers 		80200	Assevillers						23.0			0800428F		PUBLIC	32	Hauts-de-France
yes	yes	no	AMIENS	9 rue de l'église	Ecole de Proyart 		80340	Proyart						74.0	72.0		0800445Z		PUBLIC	32	Hauts-de-France
yes	no	no	DIJON	2 rue de l'Eglise	Ecole maternelle Saint-Exupéry 		89140	Cuy						32.0			0891188H		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	BESANCON	Route de Delle	Ecole primaire Sevenans 		90400	Sevenans						23.0			0900041F		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	VERSAILLES	Allée de Québec	Ecole élémentaire Moulin-Pasteur 		91300	Massy						227.0			0910702U		PUBLIC	11	Île-de-France
yes	no	no	POITIERS	10 rue Anne Frank	Ecole maternelle Anne Frank Besse 		86540	Thuré						47.0			0861050Z		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	LIMOGES	Avenue Général Chambe	Ecole Bellegarde 		87100	Limoges						20.0			0870259J		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	TOULOUSE	Le bourg	Ecole de Taïx 		81130	Taïx						24.0			0810333X		PUBLIC	76	Occitanie
yes	yes	no	GUADELOUPE	Rue Gerville Réache	Ecole primaire Bourg 2 Trois-Rivières 		97114	Trois-Rivières						173.0	165.0		9710307G		PUBLIC	1	Guadeloupe
yes	no	no	GUADELOUPE	Jabrun Saint Cyr	Ecole primaire Marcelle Blanchinet 		97111	Morne-à-l'Eau						34.0			9710602C		PUBLIC	1	Guadeloupe
yes	no	no	CRETEIL	2 rue P Brossolette	Ecole élémentaire Nobel 		93270	Sevran						160.0			0931153Y		PUBLIC	11	Île-de-France
yes	yes	no	NANCY-METZ	31 rue du 149ème RI	Ecole maternelle 149e Ri 		88000	Épinal						66.0	63.0		0880278Z		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	1 rue de l'Abbé de Barville	Ecole maternelle Centre 		88450	Vincey						38.0			0880723H		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	Allée Emile Gerlach	Ecole maternelle Joli Bois 		88110	Raon-l'Étape						46.0			0880829Y		PUBLIC	44	Grand-Est
yes	yes	no	NANCY-METZ	6 rue de la 2ème DB	Ecole primaire Bouxières 		88150	Thaon-les-Vosges						192.0	183.0		0881606T		PUBLIC	44	Grand-Est
yes	yes	no	DIJON	10  RUE PRINCIPALE	Ecole élémentaire La Chapelle	89	89340	Champigny	Yonne	OUVERT	48.31471065720285		3.1491395345899416	61.0	47.0		0890201K	LA CHAPELLE	PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	GUADELOUPE	Desbonnes	Ecole maternelle Beauperthuy Daniel 		97115	Sainte-Rose						26.0			9711162L		PUBLIC	1	Guadeloupe
yes	no	no	CRETEIL	49 rue Benoît Malon	Ecole maternelle Benoît Malon 1 		94270	Le Kremlin-Bicêtre						100.0			0940402B		PUBLIC	11	Île-de-France
yes	yes	no	CRETEIL	Boulevard de Friedberg	Ecole élémentaire Albert Camus 		94350	Villiers-sur-Marne						241.0	266.0		0941274Z		PUBLIC	11	Île-de-France
yes	yes	no	LIMOGES	Hameau de Puy Mery	Ecole primaire Puy Mery 		87110	Le Vigen						43.0	45.0		0870479Y		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	VERSAILLES	7 rue Flammarion	Ecole maternelle Flammarion 		95600	Eaubonne						99.0			0951035J		PUBLIC	11	Île-de-France
yes	no	no	LIMOGES	Le bourg	Ecole Sussac 		87130	Sussac						15.0			0870515M		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	LIMOGES	2 rue Charles Gide	Ecole l'Abbessaille 		87000	Limoges						71.0			0870680S		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	MAYOTTE	Mtsamoudou	Ecole élémentaire Mtsamoudou 		97660	Bandrele						5.0			9760033G		PUBLIC	6	Mayotte
yes	yes	no	POITIERS	16 avenue Jean Jaurès	Ecole primaire Pablo Néruda 		86530	Naintré						110.0	99.0		0861089S		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	LIMOGES	2 place du Presidial	Ecole élémentaire Presidial 		87000	Limoges						76.0			0870278E		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	POITIERS	Place de la Mairie	Ecole d'Antigny 		86310	Antigny						20.0	10.0		0860090F		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	POITIERS	1 rue St Martial	Ecole primaire Saint-Martial 		86300	Chauvigny						47.0			0860223A		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	POITIERS	Rue de Belgique	Ecole primaire Ville haute 		86500	Montmorillon						78.0			0860399S		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	VERSAILLES	4 chemin des Hauts Toupets	Ecole maternelle Les Hauts Toupets 		95490	Vauréal						102.0			0951629E		PUBLIC	11	Île-de-France
yes	no	no	VERSAILLES	Rue Robert Lepeltier	Ecole maternelle Georges Duhamel 		95660	Champagne-sur-Oise						96.0			0951845P		PUBLIC	11	Île-de-France
yes	no	no	NANCY-METZ	10 rue Le Village	Ecole primaire de Belmont-sur-Buttant 		88600	Belmont-sur-Buttant						17.0			0880467E		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	30 rue Maurice Lemaire	Ecole de Colroy-la-Grande 		88490	Colroy-la-Grande						49.0			0881081X		PUBLIC	44	Grand-Est
yes	no	no	POITIERS	Rue Pouzillard	Ecole maternelle Louise Michel 		86300	Chauvigny						38.0			0860716L		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	GUADELOUPE	46 rue Schoëlcher	Ecole primaire Amédée Fengarol 1 		97110	Pointe-à-Pitre						167.0	148.0		9710191F		PUBLIC	1	Guadeloupe
yes	no	no	NANTES	2 rue Tulipes Hameau des Conches	Ecole Les Tulipes 		85560	Longeville-sur-Mer						18.0			0850361F		PUBLIC	52	Pays-de-la-Loire
yes	yes	no	VERSAILLES	55 rue de Villeneuve	Ecole maternelle du Landy 		92110	Clichy						100.0	83.0		0922453S		PUBLIC	11	Île-de-France
yes	no	no	VERSAILLES	103 rue Maurice Arnoux	Ecole maternelle Maurice Arnoux 		92120	Montrouge						150.0			0922576A		PUBLIC	11	Île-de-France
yes	no	no	LA REUNION	122 rue des Lataniers	Ecole maternelle Evariste Courteaud 		97419	La Possession						11.0			9740185H		PUBLIC	4	La-Réunion
yes	no	no	LA REUNION	Route de Cilaos	Ecole primaire Leon Dierx	974	97421	Saint-Louis	La Réunion	OUVERT	-21.2437667537053		55.45668411349524	5.0			9740275F	LEON DIERX	PUBLIC	4	La-Réunion
yes	yes	no	CRETEIL	9 avenue du Stade	Ecole maternelle Fort du Bois 		77400	Lagny-sur-Marne						78.0	88.0		0770439J		PUBLIC	11	Île-de-France
yes	yes	no	CRETEIL	Place de la Mairie	Ecole élémentaire de Nesles la Gilberde 		77540	Lumigny-Nesles-Ormeaux						51.0	43.0		0770842X		PUBLIC	11	Île-de-France
yes	yes	no	CRETEIL	1 rue Nicolas Tappereau	Ecole maternelle Les Mezereaux 2 		77000	Melun						98.0	103.0		0771586F		PUBLIC	11	Île-de-France
yes	yes	no	LYON	Place Bouvier	Ecole maternelle Centre 		42600	Montbrison						45.0	122.0		0420304C		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	Cité Piotière	Ecole maternelle Piotière 		42230	Roche-la-Molière						28.0	24.0		0420335L		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	Le Chapitre	Ecole primaire Le Bourg 		42130	Leigneux						46.0	46.0		0420505W		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	Rue Emile Zola-La Chapelle	Ecole maternelle Rimbaud 		42160	Andrézieux-Bouthéon						101.0	97.0		0421188N		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	5 allée Jean Racine	Ecole maternelle Monthieu 		42100	Saint-Étienne						90.0	79.0		0421509M		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	CRETEIL	5 place Thomas Le Pilleur	Ecole élémentaire Robert Doisneau 		77700	Serris						127.0	128.0		0772507G		PUBLIC	11	Île-de-France
