0190547S;45.2335546;45.2335546;Chameyrat, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19330, France;True
0210472Z;47.290721;47.290721;Villargoix, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France;True
0210509P;47.23017;47.23017;Varanges, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21110, France;True
0100796L;48.2784599;48.2784599;Saint-André-les-Vergers, Troyes, Aube, Grand Est, France métropolitaine, 10120, France;True
0171051A;45.6245332;45.6245332;Royan, Rochefort, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17200, France;True
0171092V;45.8676762;45.8676762;Matha, Saint-Jean-d'Angély, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17160, France;True
0180779Z;47.1354385;47.1354385;Sainte-Solange, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18220, France;True
0120585W;44.1883973;44.1883973;Rivière-sur-Tarn, Millau, Aveyron, Occitanie, France métropolitaine, 12640, France;True
0420322X;46.0345572;46.0345572;Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42300, France;True
0420327C;46.0345572;46.0345572;Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42300, France;True
0211333K;47.2089381;47.2089381;Villers-les-Pots, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21130, France;True
0211891S;47.2768197;47.2768197;Magny-sur-Tille, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21110, France;True
0280792J;48.7358807;48.7358807;Dreux, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28100, France;True
0290512Z;48.4514803;48.4514803;Landerneau, Brest, Finistère, Bretagne, France métropolitaine, 29800, France;True
0120719S;44.7373;44.7373;Saint-Symphorien-de-Thénières, Rodez, Aveyron, Occitanie, France métropolitaine, 12460, France;True
0121101G;44.1822659;44.1822659;Salles-Curan, Millau, Aveyron, Occitanie, France métropolitaine, 12410, France;True
0190145E;45.1584982;45.1584982;Brive-la-Gaillarde, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19100, France;True
0190510B;45.4143034;45.4143034;Sarroux, Ussel, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19110, France;True
0291163G;47.8126044;47.8126044;Penmarc'h, Quimper, Finistère, Bretagne, France métropolitaine, 29760, France;True
0291334T;48.1925931;48.1925931;Spézet, Châteaulin, Finistère, Bretagne, France métropolitaine, 29540, France;True
0180234G;46.9921896;46.9921896;Saint-Florent-sur-Cher, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18400, France;True
0420522P;45.4235;45.4235;Saint-Bonnet-le-Château, Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42380, France;True
0420673D;45.4401467;45.4401467;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France;True
0420702K;45.7445684131371;45.7445684131371;Feurs, Auvergne-Rhône-Alpes, France métropolitaine, 42110, France;False
0420928F;45.6072875;45.6072875;Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42600, France;True
0420933L;45.5414;45.5414;Sury-le-Comtal, Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42450, France;True
0290790B;47.9960325;47.9960325;Quimper, Finistère, Bretagne, France métropolitaine, 29000, France;True
0061755A;43.833177;43.833177;Castillon, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06500, France;True
0130487J;43.5139051;43.5139051;Istres, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13800, France;True
0351136V;48.0030682;48.0030682;Moulins, Fougères-Vitré, Ille-et-Vilaine, Bretagne, France métropolitaine, 35680, France;True
0422101F;45.4401467;45.4401467;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France;True
0430413R;45.1189171;45.1189171;Lavoûte-sur-Loire, Pays du Velay, Haute-Loire, Auvergne-Rhône-Alpes, France métropolitaine, 43800, France;True
0291534K;47.959486;47.959486;Querrien, Quimper, Finistère, Bretagne, France métropolitaine, 29310, France;True
0160196B;45.4199869;45.4199869;Nonac, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16190, France;True
0160561Y;45.7078066;45.7078066;Rouzède, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16220, France;True
0071178T;45.2399639;45.2399639;Annonay, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07100, France;True
0090111X;43.1661872;43.1661872;La Bastide-de-Besplas, Saint-Girons, Ariège, Occitanie, France métropolitaine, 09350, France;True
0100095Z;48.2514482840827;48.2514482840827;Ailleville, Grand Est, France métropolitaine, 10200, France;False
0100227T;47.9958509;47.9958509;Les Croûtes, Troyes, Aube, Grand Est, France métropolitaine, 10130, France;True
0100412U;48.5185158;48.5185158;Pont-sur-Seine, Nogent-sur-Seine, Aube, Grand Est, France métropolitaine, 10400, France;True
0100465B;48.2784599;48.2784599;Saint-André-les-Vergers, Troyes, Aube, Grand Est, France métropolitaine, 10120, France;True
0351787C;48.0181129;48.0181129;Saint-Erblon, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35230, France;True
0352095M;48.3683827;48.3683827;Lécousse, Fougères-Vitré, Ille-et-Vilaine, Bretagne, France métropolitaine, 35133, France;True
0360241S;46.9477826;46.9477826;Issoudun, Indre, Centre-Val de Loire, France métropolitaine, 36100, France;True
0360484F;46.4280912;46.4280912;Sazeray, La Châtre, Indre, Centre-Val de Loire, France métropolitaine, 36160, France;True
0292028X;47.8201167;47.8201167;Névez, Quimper, Finistère, Bretagne, France métropolitaine, 29920, France;True
0170436G;46.1591126;46.1591126;La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France;True
9710152N;16.2408636;16.2408636;Pointe-à-Pitre, Guadeloupe, 97110, France;True
9710389W;16.3316709;16.3316709;Le Moule, Pointe-à-Pitre, Guadeloupe, 97160, France;True
9710442D;16.2408636;16.2408636;Pointe-à-Pitre, Guadeloupe, 97110, France;True
9710492H;16.3776349;16.3776349;Petit-Canal, Pointe-à-Pitre, Guadeloupe, 97131, France;True
9710497N;16.2255854;16.2255854;Sainte-Anne, Pointe-à-Pitre, Guadeloupe, 97180, France;True
0110176G;43.2130358;43.2130358;Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France;True
0110651Y;43.2108325;43.2108325;Trèbes, Carcassonne, Aude, Occitanie, France métropolitaine, 11800, France;True
0260940F;45.0458886;45.0458886;Romans-sur-Isère, Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26100, France;True
0261028B;44.9332277;44.9332277;Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26000, France;True
0270863S;48.90859715;48.90859715;Thomer-la-Sôgne, Chambois, Bernay, Eure, Normandie, France métropolitaine, 27240, France;True
0271187U;49.0902278;49.0902278;Bernay, Eure, Normandie, France métropolitaine, 27300, France;True
0571959V;49.034658;49.034658;Coin-lès-Cuvry, Metz, Moselle, Grand Est, France métropolitaine, 57420, France;True
0572137N;49.1196964;49.1196964;Metz, Moselle, Grand Est, France métropolitaine, France;True
0572314F;49.3086945;49.3086945;Heining-lès-Bouzonville, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57320, France;True
0671974G;48.8519787;48.8519787;La Walck, Val-de-Moder, Haguenau-Wissembourg, Bas-Rhin, Grand Est, France métropolitaine, 67350, France;True
